CTR Mean in 5 Run,Alg,Confidence Interval 0.95%
0.016020135,Dual Bandit log (alpha = 0.999),"(0.015895896164165556,0.016145008195295407)"
0.014996886,Dual Bandit log (alpha = 0.0),"(0.01487676899918076,0.015117637774405113)"
0.015069457,Dual Bandit log (alpha = 0.8),"(0.01494904424473835,0.015190504479744904)"
0.01501973,Dual Bandit log (alpha = 0.85),"(0.014899512924507703,0.015140581510014739)"
0.015061831,Dual Bandit log (alpha = 0.9),"(0.014941459725317014,0.015182837611572686)"
0.015081539,Dual Bandit log (alpha = 0.925),"(0.014961060549860676,0.015202653483478157)"
0.015119193,Dual Bandit log (alpha = 0.95),"(0.014998587437506952,0.015240432650300062)"
0.015188732,Dual Bandit log (alpha = 0.975),"(0.01506783223389547,0.015310267344623152)"
0.015437467,Dual Bandit log (alpha = 0.99),"(0.015315588184416138,0.01555998098430289)"
0.015667321,Dual Bandit log (alpha = 0.9999),"(0.01554455753456154,0.015790719784149254)"
0.013960258,Dual Bandit log (alpha = 1.0),"(0.013844443476185672,0.014076706479525414)"
