CTR Mean in 5 Run,Alg,Confidence Interval 0.95%
0.015823123,Dual Bandit no log (alpha = 0.99),"(0.01569969966253496,0.015947181859453652)"
0.014133603,Dual Bandit no log (alpha = 0.0),"(0.014017022925711786,0.014250818294746948)"
0.014976253,Dual Bandit no log (alpha = 0.8),"(0.01485618366836281,0.01509695759603713)"
0.014391265,Dual Bandit no log (alpha = 0.85),"(0.01427370271608877,0.014509461758570152)"
0.015228142,Dual Bandit no log (alpha = 0.9),"(0.015107039721781238,0.01534988037839946)"
0.01533839,Dual Bandit no log (alpha = 0.925),"(0.015216841108528993,0.015460573621863039)"
0.015537244,Dual Bandit no log (alpha = 0.95),"(0.015414944285939635,0.015660178064928476)"
0.015815024,Dual Bandit no log (alpha = 0.975),"(0.015691619838427463,0.01593906244235932)"
0.015643322,Dual Bandit no log (alpha = 0.999),"(0.015520658985509772,0.015766619840095197)"
0.014517757,Dual Bandit no log (alpha = 0.9999),"(0.014399646953284937,0.014636501628086496)"
0.013957696,Dual Bandit no log (alpha = 1.0),"(0.013841869009679039,0.014074157602842252)"
